id;libille;description;ouverture_inscription;fermeture_inscription;seuil_inscrits;tarif;insto_lat;ins_is_open;inscription_ouverte;category_id
1;Shirt olive;grey;2021-06-12;2021-06-13;86594;87478;false;true;false;1
2;mobile EXE;de bi-directional Midi-Pyrénées;2021-06-13;2021-06-13;53650;87564;true;false;true;2
3;Granite overriding;firewall next;2021-06-13;2021-06-13;17732;88476;true;true;true;3
4;orchid Health;a architectures optimizing;2021-06-12;2021-06-13;7411;78282;true;true;false;4
5;24/7;solutions;2021-06-13;2021-06-13;74219;49410;false;false;false;5
6;Afrique;front-end;2021-06-12;2021-06-12;49824;42451;true;false;false;6
7;Wooden parsing;TCP;2021-06-13;2021-06-13;81506;51724;true;true;false;7
8;enterprise dynamic Car;invoice Ouzbékistan;2021-06-13;2021-06-12;50247;16730;true;false;false;8
9;Autriche Soft impactful;Agent payment haptic;2021-06-13;2021-06-13;75242;62774;false;false;false;9
10;Franc Sports Clothing;up transparent cross-platform;2021-06-13;2021-06-13;73036;49320;true;true;false;10
