id;dateinscription;status;remarques;tarif;inscrit_id;formation_id
1;2021-06-13;ENREGISTREE;standardization hack;12805;1;1
2;2021-06-12;LISTE_ATTENTE;parallelism service-desk;85178;2;2
3;2021-06-12;LISTE_ATTENTE;exploit;25277;3;3
4;2021-06-13;VALIDEE;generation;37179;4;4
5;2021-06-12;ENREGISTREE;deposit;24071;5;5
6;2021-06-13;ENREGISTREE;b Keyboard extranet;66541;6;6
7;2021-06-13;ENREGISTREE;Books Malaisie;16259;7;7
8;2021-06-12;LISTE_ATTENTE;a hack tan;71931;8;8
9;2021-06-13;ENREGISTREE;invoice white;51612;9;9
10;2021-06-13;VALIDEE;Investment Small methodical;96424;10;10
